,conj_curve_1_x,conj_curve_1_y,conj_curve_2_x,conj_curve_2_y,conj_curve_3_x,conj_curve_3_y,conj_curve_4_x,conj_curve_4_y,conj_curve_5_x,conj_curve_5_y,conj_curve_6_x,conj_curve_6_y,conj_curve_7_x,conj_curve_7_y,conj_curve_8_x,conj_curve_8_y,conj_curve_9_x,conj_curve_9_y,conj_curve_10_x,conj_curve_10_y,conj_curve_11_x,conj_curve_11_y,conj_curve_12_x,conj_curve_12_y,conj_curve_13_x,conj_curve_13_y,conj_curve_14_x,conj_curve_14_y,conj_curve_15_x,conj_curve_15_y,conj_curve_16_x,conj_curve_16_y,conj_curve_17_x,conj_curve_17_y,conj_curve_18_x,conj_curve_18_y,conj_curve_19_x,conj_curve_19_y,conj_curve_20_x,conj_curve_20_y,conj_curve_21_x,conj_curve_21_y,conj_curve_22_x,conj_curve_22_y,conj_curve_23_x,conj_curve_23_y,conj_curve_24_x,conj_curve_24_y
0,55.0,0.0,53.12592044589876,14.235047480638642,47.63139720814413,27.499999999999996,38.890872965260115,38.890872965260115,27.500000000000007,47.63139720814412,14.235047480638652,53.12592044589875,3.3677786976552213e-15,55.0,-14.235047480638634,53.12592044589876,-27.49999999999999,47.63139720814413,-38.89087296526011,38.890872965260115,-47.631397208144115,27.500000000000018,-53.12592044589875,14.235047480638656,-55.0,6.735557395310443e-15,-53.125920445898764,-14.235047480638618,-47.631397208144136,-27.499999999999986,-38.89087296526014,-38.890872965260094,-27.500000000000025,-47.631397208144115,-14.235047480638684,-53.12592044589874,-1.0103336092965664e-14,-55.0,14.235047480638617,-53.125920445898764,27.499999999999964,-47.63139720814415,38.8908729652601,-38.89087296526012,47.63139720814411,-27.500000000000025,53.12592044589874,-14.235047480638686
1,55.122948744157135,-0.23060381667274873,53.30436447281818,14.044122775032907,47.85317585228398,27.361765608630314,39.1408723785288,38.8147493334552,27.761183135526824,47.62257203561122,14.489615139362995,53.184995153561694,0.23060381667275212,55.122948744157135,-14.044122775032902,53.30436447281818,-27.361765608630307,47.85317585228398,-38.81474933345519,39.1408723785288,-47.62257203561121,27.761183135526835,-53.184995153561694,14.489615139362998,-55.122948744157135,0.23060381667275548,-53.304364472818186,-14.044122775032886,-47.85317585228398,-27.361765608630304,-39.14087237852882,-38.81474933345517,-27.761183135526842,-47.62257203561121,-14.489615139363025,-53.18499515356169,-0.23060381667275887,-55.122948744157135,14.044122775032882,-53.304364472818186,27.361765608630282,-47.853175852284,38.81474933345518,-39.140872378528805,47.622572035611206,-27.761183135526842,53.18499515356169,-14.489615139363028
2,55.244932197961944,-0.4617896258719211,53.48202673160637,13.852386072287958,48.07440952671989,27.222544551771772,39.39060075930556,38.7375316074343,28.022387646190175,47.61261990084797,14.74449512417208,53.24298683159352,0.46178962587192446,55.244932197961944,-13.852386072287953,53.48202673160637,-27.222544551771765,48.07440952671989,-38.73753160743429,39.39060075930556,-47.61261990084796,28.022387646190186,-53.24298683159352,14.744495124172083,-55.244932197961944,0.46178962587192784,-53.482026731606375,-13.852386072287937,-48.0744095267199,-27.22254455177176,-39.390600759305585,-38.73753160743428,-28.022387646190193,-47.61261990084796,-14.74449512417211,-53.24298683159351,-0.46178962587193123,-55.244932197961944,13.852386072287933,-53.482026731606375,27.22254455177174,-48.074409526719904,38.73753160743429,-39.39060075930557,47.61261990084795,-28.022387646190193,53.24298683159351,-14.744495124172113
3,55.365949511490605,-0.6935526117622527,53.65890515487006,13.659841804166977,48.29509508747863,27.082340575098144,39.640054101293764,38.6592225915203,28.283608936392465,47.601542475716364,14.999682563349781,53.29989590546073,0.6935526117622561,55.365949511490605,-13.659841804166971,53.65890515487006,-27.082340575098137,48.29509508747863,-38.65922259152029,39.640054101293764,-47.60154247571636,28.283608936392476,-53.29989590546073,14.999682563349785,-55.365949511490605,0.6935526117622595,-53.65890515487007,-13.659841804166955,-48.295095087478636,-27.082340575098133,-39.64005410129377,-38.65922259152027,-28.283608936392483,-47.60154247571636,-14.999682563349811,-53.29989590546072,-0.6935526117622629,-55.365949511490605,13.659841804166952,-53.65890515487007,27.082340575098108,-48.29509508747864,38.65922259152028,-39.64005410129376,47.60154247571635,-28.283608936392483,53.29989590546072,-14.999682563349815
4,55.485999853878546,-0.925887974504681,53.83499769776597,13.466494391914905,48.515229415090815,26.941157419959698,39.889228422984644,38.57982509220197,28.544842433918852,47.58934144058613,15.25517260556401,53.35572281489954,0.9258879745046844,55.485999853878546,-13.466494391914898,53.83499769776597,-26.94115741995969,48.515229415090815,-38.579825092201965,39.889228422984644,-47.589341440586125,28.544842433918863,-53.35572281489954,15.255172605564011,-55.485999853878546,0.9258879745046877,-53.83499769776598,-13.466494391914884,-48.51522941509082,-26.941157419959687,-39.889228422984665,-38.57982509220195,-28.54484243391887,-47.589341440586125,-15.25517260556404,-53.355722814899536,-0.9258879745046912,-55.485999853878546,13.46649439191488,-53.83499769776598,26.941157419959666,-48.51522941509083,38.57982509220196,-39.88922842298465,47.58934144058612,-28.54484243391887,53.355722814899536,-15.255172605564043
5,55.60508241312746,-1.158790930442565,54.01030233786249,13.272348246028606,48.73480941451698,26.79899882312546,40.138119767652675,38.499341917865856,28.806083590002007,47.57601848407442,15.510960419996644,53.41046801368127,1.1587909304425683,55.60508241312746,-13.272348246028601,54.01030233786249,-26.79899882312545,48.73480941451698,-38.49934191786585,40.138119767652675,-47.57601848407441,28.806083590002018,-53.41046801368127,15.510960419996648,-55.60508241312746,1.1587909304425719,-54.0103023378625,-13.272348246028585,-48.73480941451699,-26.798998823125448,-40.13811976765269,-38.49934191786583,-28.806083590002025,-47.57601848407441,-15.510960419996675,-53.41046801368127,-1.1587909304425752,-55.60508241312746,13.272348246028582,-54.0103023378625,26.798998823125427,-48.734809414517,38.49934191786584,-40.13811976765268,47.5760184840744,-28.806083590002025,53.41046801368127,-15.510960419996678
6,55.723196395917526,-1.392256711927077,54.18481707491321,13.077407766376936,48.95383201489759,26.655868516840517,40.38672420309919,38.417775878786955,29.067327879077013,47.56157530297051,15.767041196126273,53.46413196947612,1.3922567119270803,55.723196395917526,-13.077407766376929,54.18481707491321,-26.65586851684051,48.95383201489759,-38.41777587878695,40.38672420309919,-47.5615753029705,29.067327879077023,-53.46413196947612,15.767041196126277,-55.723196395917526,1.392256711927084,-54.18481707491322,-13.077407766376915,-48.9538320148976,-26.655868516840506,-40.386724203099206,-38.41777587878692,-29.06732787907703,-47.5615753029705,-15.767041196126305,-53.464131969476114,-1.3922567119270872,-55.723196395917526,13.077407766376911,-54.18481707491322,26.655868516840485,-48.953832014897614,38.417775878786934,-40.38672420309919,47.561575302970496,-29.06732787907703,53.464131969476114,-15.767041196126309
7,55.840341027424465,-1.6262805671421594,54.358539930634855,12.881677342322467,49.17229416930711,26.511770228886153,40.63503782139936,38.3351297871231,29.328570798538316,47.54601360216495,16.023410143511768,53.51671516372181,1.6262805671421627,55.840341027424465,-12.881677342322462,54.358539930634855,-26.511770228886146,49.17229416930711,-38.335129787123094,40.63503782139936,-47.54601360216494,29.328570798538323,-53.51671516372181,16.02341014351177,-55.840341027424465,1.6262805671421663,-54.35853993063486,-12.881677342322444,-49.172294169307115,-26.511770228886142,-40.635037821399365,-38.33512978712307,-29.32857079853833,-47.54601360216494,-16.0234101435118,-53.516715163721805,-1.6262805671421696,-55.840341027424465,12.88167734232244,-54.35853993063486,26.51177022888612,-49.17229416930713,38.33512978712309,-40.63503782139936,47.54601360216493,-29.32857079853833,53.516715163721805,-16.023410143511803
8,55.95651555114173,-1.8608577599288743,54.53146894849008,12.685161352845132,49.39019285451218,26.36670768264305,40.88305673865214,38.25140645691351,29.58980786849868,47.529335094583296,16.28006249157659,53.56821809149726,1.8608577599288776,55.95651555114173,-12.685161352845126,54.53146894849008,-26.366707682643042,49.39019285451218,-38.2514064569135,40.88305673865214,-47.52933509458329,29.589807868498692,-53.56821809149726,16.280062491576594,-55.95651555114173,1.8608577599288811,-54.53146894849009,-12.68516135284511,-49.390192854512186,-26.36670768264304,-40.88305673865215,-38.25140645691348,-29.5898078684987,-47.52933509458329,-16.280062491576622,-53.56821809149725,-1.8608577599288845,-55.95651555114173,12.685161352845107,-54.53146894849009,26.366707682643018,-49.39019285451219,38.25140645691349,-40.883056738652144,47.52933509458328,-29.589807868498696,53.56821809149725,-16.280062491576622
9,56.07171922870748,-2.095983569609311,54.70360219347477,12.487864166667537,49.60752507073373,26.220684597157284,41.130777094733524,38.166608704080865,29.8510346315502,47.511541501124405,16.536993489393918,53.61864126140105,2.0959835696093148,56.07171922870748,-12.48786416666753,54.70360219347477,-26.220684597157273,49.60752507073373,-38.16660870408086,41.130777094733524,-47.5115415011244,29.85103463155021,-53.61864126140105,16.53699348939392,-56.07171922870748,2.095983569609318,-54.70360219347477,-12.487864166667514,-49.607525070733736,-26.220684597157273,-41.13077709473354,-38.166608704080836,-29.851034631550217,-47.5115415011244,-16.53699348939395,-53.618641261401045,-2.0959835696093214,-56.07171922870748,12.487864166667512,-54.70360219347477,26.22068459715725,-49.60752507073374,38.16660870408085,-41.130777094733524,47.51154150112439,-29.851034631550217,53.618641261401045,-16.53699348939395
