,straw_1_x,straw_1_y,straw_2_x,straw_2_y,straw_3_x,straw_3_y,straw_4_x,straw_4_y,straw_5_x,straw_5_y,straw_6_x,straw_6_y,straw_7_x,straw_7_y,straw_8_x,straw_8_y,straw_9_x,straw_9_y,straw_10_x,straw_10_y,straw_11_x,straw_11_y,straw_12_x,straw_12_y
0,55.0,0.0,47.63139720814413,27.499999999999996,27.500000000000007,47.63139720814412,3.3677786976552213e-15,55.0,-27.49999999999999,47.63139720814413,-47.631397208144115,27.500000000000018,-55.0,6.735557395310443e-15,-47.631397208144136,-27.499999999999986,-27.500000000000025,-47.631397208144115,-1.0103336092965664e-14,-55.0,27.499999999999964,-47.63139720814415,47.63139720814411,-27.500000000000025
1,55.10861109475506,0.05293151862097866,47.69899141602436,27.600145587164185,27.50846550759088,47.751922934645336,-0.05293151862097529,55.10861109475506,-27.600145587164178,47.69899141602436,-47.75192293464533,27.50846550759089,-55.10861109475506,-0.05293151862097191,-47.69899141602437,-27.600145587164175,-27.5084655075909,-47.75192293464533,0.05293151862096854,-55.10861109475506,27.600145587164153,-47.69899141602438,47.75192293464532,-27.5084655075909
2,55.217171380935014,0.10595069828470469,47.76649779186645,27.70034168673076,27.516829694204258,47.87244849015114,-0.1059506982847013,55.217171380935014,-27.700341686730752,47.76649779186645,-47.872448490151136,27.51682969420427,-55.217171380935014,-0.10595069828469793,-47.766497791866456,-27.70034168673075,-27.516829694204276,-47.872448490151136,0.10595069828469454,-55.217171380935014,27.700341686730727,-47.76649779186646,47.87244849015113,-27.516829694204276
3,55.32568090653035,0.15905721913118565,47.833916537161365,27.800588045688087,27.525092860842268,47.99297375629254,-0.15905721913118226,55.32568090653035,-27.80058804568808,47.833916537161365,-47.992973756292535,27.52509286084228,-55.32568090653035,-0.15905721913117887,-47.83391653716137,-27.800588045688077,-27.525092860842285,-47.992973756292535,0.1590572191311755,-55.32568090653035,27.800588045688055,-47.833916537161386,47.992973756292535,-27.525092860842285
4,55.434139719823925,0.21225076240512553,47.90124785310095,27.900884412127414,27.533255307696514,48.11349861550606,-0.21225076240512214,55.434139719823925,-27.900884412127407,47.90124785310095,-48.11349861550605,27.533255307696525,-55.434139719823925,-0.21225076240511873,-47.901247853100955,-27.900884412127404,-27.533255307696532,-48.11349861550605,0.21225076240511534,-55.434139719823925,27.900884412127382,-47.90124785310096,48.113498615506046,-27.533255307696535
5,55.54254786938784,0.2655310105373168,47.96849194053446,28.001230535311787,27.541317334076055,48.23402295107177,-0.2655310105373134,55.54254786938784,-28.00123053531178,47.96849194053446,-48.234022951071765,27.541317334076066,-55.54254786938784,-0.26553101053731,-47.96849194053447,-28.001230535311777,-27.541317334076073,-48.234022951071765,0.2655310105373066,-55.54254786938784,28.001230535311755,-47.96849194053448,48.23402295107176,-27.541317334076073
6,55.650905404080554,0.3188976471184822,48.03564899997922,28.101626165651965,27.549279238428593,48.3545466470977,-0.3188976471184788,55.650905404080554,-28.101626165651957,48.03564899997922,-48.35454664709769,27.549279238428603,-55.650905404080554,-0.31889764711847535,-48.03564899997923,-28.101626165651954,-27.54927923842861,-48.35454664709769,0.31889764711847196,-55.650905404080554,28.101626165651933,-48.035648999979244,48.354546647097685,-27.54927923842861
7,55.759212373044036,0.372350356873088,48.10271923163119,28.20207105468231,27.55714131836173,48.47506958850427,-0.37235035687308454,55.759212373044036,-28.202071054682303,48.10271923163119,-48.47506958850426,27.55714131836174,-55.759212373044036,-0.37235035687308116,-48.1027192316312,-28.2020710546823,-27.557141318361747,-48.47506958850426,0.3723503568730777,-55.759212373044036,28.20207105468228,-48.102719231631205,48.475069588504255,-27.557141318361747
8,55.86746882570115,0.4258888256331644,48.1697028353758,28.302564955036814,27.56490387066434,48.59559166100896,-0.42588882563316094,55.86746882570115,-28.302564955036807,48.1697028353758,-48.59559166100895,27.564903870664352,-55.86746882570115,-0.42588882563315755,-48.16970283537581,-28.302564955036804,-27.56490387066436,-48.59559166100895,0.4258888256331541,-55.86746882570115,28.302564955036782,-48.169702835375816,48.595591661008946,-27.56490387066436
9,55.97567481175313,0.4795127403121319,48.236600010798874,28.403107620425157,27.572567191327977,48.716112751111,-0.4795127403121285,55.97567481175313,-28.40310762042515,48.236600010798874,-48.71611275111099,27.572567191327988,-55.97567481175313,-0.4795127403121251,-48.23660001079888,-28.403107620425146,-27.572567191327995,-48.71611275111099,0.47951274031212165,-55.97567481175313,28.403107620425125,-48.236600010798895,48.716112751110984,-27.572567191327995
10,56.0838303811772,0.5332217888786358,48.30341095719764,28.503698805608877,27.580131575568327,48.83663274607627,-0.5332217888786324,56.0838303811772,-28.503698805608867,48.30341095719764,-48.83663274607626,27.580131575568338,-56.0838303811772,-0.5332217888786289,-48.30341095719765,-28.503698805608867,-27.580131575568345,-48.83663274607626,0.5332217888786255,-56.0838303811772,28.503698805608842,-48.303410957197656,48.836632746076255,-27.580131575568345
11,56.19193558413979,0.5870156684243663,48.370135869471646,28.604338273344897,27.587597310794898,48.95715153789601,-0.5870156684243628,56.19193558413979,-28.604338273344887,48.370135869471646,-48.957151537896,27.58759731079491,-56.19193558413979,-0.5870156684243594,-48.37013586947165,-28.604338273344887,-27.587597310794916,-48.957151537896,0.5870156684243559,-56.19193558413979,28.60433827334486,-48.37013586947167,48.957151537896,-27.587597310794916
